PING 10.0.100.102 (10.0.100.102) 56(84) bytes of data.
64 bytes from 10.0.100.116: icmp_seq=26 ttl=62 time=0.865 ms
64 bytes from 10.0.100.116: icmp_seq=27 ttl=62 time=0.839 ms
64 bytes from 10.0.100.116: icmp_seq=28 ttl=62 time=0.827 ms
64 bytes from 10.0.100.116: icmp_seq=29 ttl=62 time=0.824 ms
64 bytes from 10.0.100.116: icmp_seq=30 ttl=62 time=0.861 ms
64 bytes from 10.0.100.116: icmp_seq=31 ttl=62 time=0.783 ms
64 bytes from 10.0.100.116: icmp_seq=32 ttl=62 time=0.976 ms
64 bytes from 10.0.100.116: icmp_seq=33 ttl=62 time=0.901 ms
64 bytes from 10.0.100.116: icmp_seq=34 ttl=62 time=0.814 ms
64 bytes from 10.0.100.116: icmp_seq=35 ttl=62 time=0.751 ms
64 bytes from 10.0.100.116: icmp_seq=36 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=37 ttl=62 time=0.794 ms
64 bytes from 10.0.100.116: icmp_seq=38 ttl=62 time=0.843 ms
64 bytes from 10.0.100.116: icmp_seq=39 ttl=62 time=0.865 ms
64 bytes from 10.0.100.116: icmp_seq=40 ttl=62 time=0.822 ms
64 bytes from 10.0.100.116: icmp_seq=41 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=42 ttl=62 time=0.829 ms
64 bytes from 10.0.100.116: icmp_seq=43 ttl=62 time=0.856 ms
64 bytes from 10.0.100.116: icmp_seq=44 ttl=62 time=0.746 ms
64 bytes from 10.0.100.116: icmp_seq=45 ttl=62 time=0.810 ms
64 bytes from 10.0.100.116: icmp_seq=46 ttl=62 time=0.832 ms
64 bytes from 10.0.100.116: icmp_seq=47 ttl=62 time=0.873 ms
64 bytes from 10.0.100.116: icmp_seq=48 ttl=62 time=0.849 ms
64 bytes from 10.0.100.116: icmp_seq=49 ttl=62 time=0.848 ms
64 bytes from 10.0.100.116: icmp_seq=50 ttl=62 time=0.846 ms
64 bytes from 10.0.100.116: icmp_seq=51 ttl=62 time=0.821 ms
64 bytes from 10.0.100.116: icmp_seq=52 ttl=62 time=0.859 ms
64 bytes from 10.0.100.116: icmp_seq=53 ttl=62 time=0.805 ms
64 bytes from 10.0.100.116: icmp_seq=54 ttl=62 time=0.713 ms
64 bytes from 10.0.100.116: icmp_seq=55 ttl=62 time=0.806 ms
64 bytes from 10.0.100.116: icmp_seq=56 ttl=62 time=0.871 ms
64 bytes from 10.0.100.116: icmp_seq=57 ttl=62 time=0.804 ms
64 bytes from 10.0.100.116: icmp_seq=58 ttl=62 time=0.822 ms
64 bytes from 10.0.100.116: icmp_seq=59 ttl=62 time=0.810 ms
64 bytes from 10.0.100.116: icmp_seq=60 ttl=62 time=0.809 ms

--- 10.0.100.116 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59000ms
rtt min/avg/max/mdev = 0.713/0.825/0.976/0.059 ms
PING 10.0.100.116 (10.0.100.116) 56(84) bytes of data.
64 bytes from 10.0.100.116: icmp_seq=1 ttl=62 time=0.912 ms
64 bytes from 10.0.100.116: icmp_seq=2 ttl=62 time=0.835 ms
64 bytes from 10.0.100.116: icmp_seq=3 ttl=62 time=0.812 ms
64 bytes from 10.0.100.116: icmp_seq=4 ttl=62 time=0.874 ms
64 bytes from 10.0.100.116: icmp_seq=5 ttl=62 time=0.724 ms
64 bytes from 10.0.100.116: icmp_seq=6 ttl=62 time=0.703 ms
64 bytes from 10.0.100.116: icmp_seq=7 ttl=62 time=0.857 ms
64 bytes from 10.0.100.116: icmp_seq=8 ttl=62 time=0.797 ms
64 bytes from 10.0.100.116: icmp_seq=9 ttl=62 time=0.979 ms
64 bytes from 10.0.100.116: icmp_seq=10 ttl=62 time=0.826 ms
64 bytes from 10.0.100.116: icmp_seq=11 ttl=62 time=0.840 ms
64 bytes from 10.0.100.116: icmp_seq=12 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=13 ttl=62 time=0.798 ms
64 bytes from 10.0.100.116: icmp_seq=14 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=15 ttl=62 time=0.813 ms
64 bytes from 10.0.100.116: icmp_seq=16 ttl=62 time=0.691 ms
64 bytes from 10.0.100.116: icmp_seq=17 ttl=62 time=0.868 ms
64 bytes from 10.0.100.116: icmp_seq=18 ttl=62 time=0.803 ms
64 bytes from 10.0.100.116: icmp_seq=19 ttl=62 time=0.842 ms
64 bytes from 10.0.100.116: icmp_seq=20 ttl=62 time=0.851 ms
64 bytes from 10.0.100.116: icmp_seq=21 ttl=62 time=0.804 ms
64 bytes from 10.0.100.116: icmp_seq=22 ttl=62 time=0.860 ms
64 bytes from 10.0.100.116: icmp_seq=23 ttl=62 time=0.854 ms
64 bytes from 10.0.100.116: icmp_seq=24 ttl=62 time=0.836 ms
64 bytes from 10.0.100.116: icmp_seq=25 ttl=62 time=0.722 ms
64 bytes from 10.0.100.116: icmp_seq=26 ttl=62 time=0.791 ms
64 bytes from 10.0.100.116: icmp_seq=27 ttl=62 time=0.843 ms
64 bytes from 10.0.100.116: icmp_seq=28 ttl=62 time=0.805 ms
64 bytes from 10.0.100.116: icmp_seq=29 ttl=62 time=0.855 ms
64 bytes from 10.0.100.116: icmp_seq=30 ttl=62 time=0.800 ms
64 bytes from 10.0.100.116: icmp_seq=31 ttl=62 time=0.800 ms
64 bytes from 10.0.100.116: icmp_seq=32 ttl=62 time=0.737 ms
64 bytes from 10.0.100.116: icmp_seq=33 ttl=62 time=0.900 ms
64 bytes from 10.0.100.116: icmp_seq=34 ttl=62 time=0.859 ms
64 bytes from 10.0.100.116: icmp_seq=35 ttl=62 time=0.837 ms
64 bytes from 10.0.100.116: icmp_seq=36 ttl=62 time=0.795 ms
64 bytes from 10.0.100.116: icmp_seq=37 ttl=62 time=0.761 ms
64 bytes from 10.0.100.116: icmp_seq=38 ttl=62 time=0.842 ms
64 bytes from 10.0.100.116: icmp_seq=39 ttl=62 time=0.844 ms
64 bytes from 10.0.100.116: icmp_seq=40 ttl=62 time=0.861 ms
64 bytes from 10.0.100.116: icmp_seq=41 ttl=62 time=0.828 ms
64 bytes from 10.0.100.116: icmp_seq=42 ttl=62 time=0.819 ms
64 bytes from 10.0.100.116: icmp_seq=43 ttl=62 time=0.824 ms
64 bytes from 10.0.100.116: icmp_seq=44 ttl=62 time=0.820 ms
64 bytes from 10.0.100.116: icmp_seq=45 ttl=62 time=0.740 ms
64 bytes from 10.0.100.116: icmp_seq=46 ttl=62 time=0.775 ms
64 bytes from 10.0.100.116: icmp_seq=47 ttl=62 time=0.726 ms
64 bytes from 10.0.100.116: icmp_seq=48 ttl=62 time=0.863 ms
64 bytes from 10.0.100.116: icmp_seq=49 ttl=62 time=0.914 ms
64 bytes from 10.0.100.116: icmp_seq=50 ttl=62 time=0.859 ms
64 bytes from 10.0.100.116: icmp_seq=51 ttl=62 time=0.862 ms
64 bytes from 10.0.100.116: icmp_seq=52 ttl=62 time=0.859 ms
64 bytes from 10.0.100.116: icmp_seq=53 ttl=62 time=0.886 ms
64 bytes from 10.0.100.116: icmp_seq=54 ttl=62 time=0.835 ms
64 bytes from 10.0.100.116: icmp_seq=55 ttl=62 time=0.748 ms
64 bytes from 10.0.100.116: icmp_seq=56 ttl=62 time=0.825 ms
64 bytes from 10.0.100.116: icmp_seq=57 ttl=62 time=0.828 ms
64 bytes from 10.0.100.116: icmp_seq=58 ttl=62 time=0.875 ms
64 bytes from 10.0.100.116: icmp_seq=59 ttl=62 time=0.849 ms
64 bytes from 10.0.100.116: icmp_seq=60 ttl=62 time=0.788 ms

--- 10.0.100.116 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59007ms
rtt min/avg/max/mdev = 0.691/0.822/0.979/0.064 ms
PING 10.0.100.116 (10.0.100.116) 56(84) bytes of data.
64 bytes from 10.0.100.116: icmp_seq=1 ttl=62 time=0.785 ms
64 bytes from 10.0.100.116: icmp_seq=2 ttl=62 time=0.837 ms
64 bytes from 10.0.100.116: icmp_seq=3 ttl=62 time=0.851 ms
64 bytes from 10.0.100.116: icmp_seq=4 ttl=62 time=0.816 ms
64 bytes from 10.0.100.116: icmp_seq=5 ttl=62 time=0.844 ms
64 bytes from 10.0.100.116: icmp_seq=6 ttl=62 time=0.695 ms
64 bytes from 10.0.100.116: icmp_seq=7 ttl=62 time=0.668 ms
64 bytes from 10.0.100.116: icmp_seq=8 ttl=62 time=0.826 ms
64 bytes from 10.0.100.116: icmp_seq=9 ttl=62 time=0.768 ms
64 bytes from 10.0.100.116: icmp_seq=10 ttl=62 time=0.807 ms
64 bytes from 10.0.100.116: icmp_seq=11 ttl=62 time=0.766 ms
64 bytes from 10.0.100.116: icmp_seq=12 ttl=62 time=0.903 ms
64 bytes from 10.0.100.116: icmp_seq=13 ttl=62 time=0.968 ms
64 bytes from 10.0.100.116: icmp_seq=14 ttl=62 time=0.830 ms
64 bytes from 10.0.100.116: icmp_seq=15 ttl=62 time=0.946 ms
64 bytes from 10.0.100.116: icmp_seq=16 ttl=62 time=0.829 ms
64 bytes from 10.0.100.116: icmp_seq=17 ttl=62 time=0.982 ms
64 bytes from 10.0.100.116: icmp_seq=18 ttl=62 time=0.899 ms
64 bytes from 10.0.100.116: icmp_seq=19 ttl=62 time=0.949 ms
64 bytes from 10.0.100.116: icmp_seq=20 ttl=62 time=0.946 ms
64 bytes from 10.0.100.116: icmp_seq=21 ttl=62 time=0.901 ms
64 bytes from 10.0.100.116: icmp_seq=22 ttl=62 time=0.909 ms
64 bytes from 10.0.100.116: icmp_seq=23 ttl=62 time=0.923 ms
64 bytes from 10.0.100.116: icmp_seq=24 ttl=62 time=0.949 ms
64 bytes from 10.0.100.116: icmp_seq=25 ttl=62 time=0.905 ms
64 bytes from 10.0.100.116: icmp_seq=26 ttl=62 time=0.929 ms
64 bytes from 10.0.100.116: icmp_seq=27 ttl=62 time=0.837 ms
64 bytes from 10.0.100.116: icmp_seq=28 ttl=62 time=0.816 ms
64 bytes from 10.0.100.116: icmp_seq=29 ttl=62 time=0.812 ms
64 bytes from 10.0.100.116: icmp_seq=30 ttl=62 time=0.985 ms
64 bytes from 10.0.100.116: icmp_seq=31 ttl=62 time=0.867 ms
64 bytes from 10.0.100.116: icmp_seq=32 ttl=62 time=0.848 ms
64 bytes from 10.0.100.116: icmp_seq=33 ttl=62 time=0.819 ms
64 bytes from 10.0.100.116: icmp_seq=34 ttl=62 time=0.883 ms
64 bytes from 10.0.100.116: icmp_seq=35 ttl=62 time=0.836 ms
64 bytes from 10.0.100.116: icmp_seq=36 ttl=62 time=0.756 ms
64 bytes from 10.0.100.116: icmp_seq=37 ttl=62 time=0.829 ms
64 bytes from 10.0.100.116: icmp_seq=38 ttl=62 time=0.855 ms
64 bytes from 10.0.100.116: icmp_seq=39 ttl=62 time=0.837 ms
64 bytes from 10.0.100.116: icmp_seq=40 ttl=62 time=0.854 ms
64 bytes from 10.0.100.116: icmp_seq=41 ttl=62 time=0.861 ms
64 bytes from 10.0.100.116: icmp_seq=42 ttl=62 time=0.864 ms
64 bytes from 10.0.100.116: icmp_seq=43 ttl=62 time=0.836 ms
64 bytes from 10.0.100.116: icmp_seq=44 ttl=62 time=0.834 ms
64 bytes from 10.0.100.116: icmp_seq=45 ttl=62 time=0.851 ms
64 bytes from 10.0.100.116: icmp_seq=46 ttl=62 time=0.872 ms
64 bytes from 10.0.100.116: icmp_seq=47 ttl=62 time=0.794 ms
64 bytes from 10.0.100.116: icmp_seq=48 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=49 ttl=62 time=0.836 ms
64 bytes from 10.0.100.116: icmp_seq=50 ttl=62 time=0.818 ms
64 bytes from 10.0.100.116: icmp_seq=51 ttl=62 time=0.868 ms
64 bytes from 10.0.100.116: icmp_seq=52 ttl=62 time=0.860 ms
64 bytes from 10.0.100.116: icmp_seq=53 ttl=62 time=0.849 ms
64 bytes from 10.0.100.116: icmp_seq=54 ttl=62 time=0.868 ms
64 bytes from 10.0.100.116: icmp_seq=55 ttl=62 time=0.833 ms
64 bytes from 10.0.100.116: icmp_seq=56 ttl=62 time=0.874 ms
64 bytes from 10.0.100.116: icmp_seq=57 ttl=62 time=0.768 ms
64 bytes from 10.0.100.116: icmp_seq=58 ttl=62 time=0.801 ms
64 bytes from 10.0.100.116: icmp_seq=59 ttl=62 time=0.854 ms
64 bytes from 10.0.100.116: icmp_seq=60 ttl=62 time=0.857 ms

--- 10.0.100.116 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59010ms
rtt min/avg/max/mdev = 0.668/0.851/0.985/0.063 ms
PING 10.0.100.116 (10.0.100.116) 56(84) bytes of data.
64 bytes from 10.0.100.116: icmp_seq=1 ttl=62 time=0.876 ms
64 bytes from 10.0.100.116: icmp_seq=2 ttl=62 time=0.834 ms
64 bytes from 10.0.100.116: icmp_seq=3 ttl=62 time=0.851 ms
64 bytes from 10.0.100.116: icmp_seq=4 ttl=62 time=0.850 ms
64 bytes from 10.0.100.116: icmp_seq=5 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=6 ttl=62 time=0.827 ms
64 bytes from 10.0.100.116: icmp_seq=7 ttl=62 time=0.763 ms
64 bytes from 10.0.100.116: icmp_seq=8 ttl=62 time=0.824 ms
64 bytes from 10.0.100.116: icmp_seq=9 ttl=62 time=0.833 ms
64 bytes from 10.0.100.116: icmp_seq=10 ttl=62 time=0.854 ms
64 bytes from 10.0.100.116: icmp_seq=11 ttl=62 time=1.06 ms
64 bytes from 10.0.100.116: icmp_seq=12 ttl=62 time=0.873 ms
64 bytes from 10.0.100.116: icmp_seq=13 ttl=62 time=0.847 ms
64 bytes from 10.0.100.116: icmp_seq=14 ttl=62 time=0.791 ms
64 bytes from 10.0.100.116: icmp_seq=15 ttl=62 time=0.840 ms
64 bytes from 10.0.100.116: icmp_seq=16 ttl=62 time=0.773 ms
64 bytes from 10.0.100.116: icmp_seq=17 ttl=62 time=0.731 ms
64 bytes from 10.0.100.116: icmp_seq=18 ttl=62 time=0.809 ms
64 bytes from 10.0.100.116: icmp_seq=19 ttl=62 time=0.833 ms
64 bytes from 10.0.100.116: icmp_seq=20 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=21 ttl=62 time=0.799 ms
64 bytes from 10.0.100.116: icmp_seq=22 ttl=62 time=0.783 ms
64 bytes from 10.0.100.116: icmp_seq=23 ttl=62 time=0.846 ms
64 bytes from 10.0.100.116: icmp_seq=24 ttl=62 time=0.830 ms
64 bytes from 10.0.100.116: icmp_seq=25 ttl=62 time=0.774 ms
64 bytes from 10.0.100.116: icmp_seq=26 ttl=62 time=0.760 ms
64 bytes from 10.0.100.116: icmp_seq=27 ttl=62 time=0.776 ms
64 bytes from 10.0.100.116: icmp_seq=28 ttl=62 time=0.720 ms
64 bytes from 10.0.100.116: icmp_seq=29 ttl=62 time=0.814 ms
64 bytes from 10.0.100.116: icmp_seq=30 ttl=62 time=0.841 ms
64 bytes from 10.0.100.116: icmp_seq=31 ttl=62 time=0.783 ms
64 bytes from 10.0.100.116: icmp_seq=32 ttl=62 time=0.840 ms
64 bytes from 10.0.100.116: icmp_seq=33 ttl=62 time=0.846 ms
64 bytes from 10.0.100.116: icmp_seq=34 ttl=62 time=0.814 ms
64 bytes from 10.0.100.116: icmp_seq=35 ttl=62 time=0.726 ms
64 bytes from 10.0.100.116: icmp_seq=36 ttl=62 time=0.861 ms
64 bytes from 10.0.100.116: icmp_seq=37 ttl=62 time=0.874 ms
64 bytes from 10.0.100.116: icmp_seq=38 ttl=62 time=0.823 ms
64 bytes from 10.0.100.116: icmp_seq=39 ttl=62 time=0.842 ms
64 bytes from 10.0.100.116: icmp_seq=40 ttl=62 time=0.789 ms
64 bytes from 10.0.100.116: icmp_seq=41 ttl=62 time=0.755 ms
64 bytes from 10.0.100.116: icmp_seq=42 ttl=62 time=0.787 ms
64 bytes from 10.0.100.116: icmp_seq=43 ttl=62 time=0.882 ms
64 bytes from 10.0.100.116: icmp_seq=44 ttl=62 time=0.794 ms
64 bytes from 10.0.100.116: icmp_seq=45 ttl=62 time=1.04 ms
64 bytes from 10.0.100.116: icmp_seq=46 ttl=62 time=0.858 ms
64 bytes from 10.0.100.116: icmp_seq=47 ttl=62 time=0.751 ms
64 bytes from 10.0.100.116: icmp_seq=48 ttl=62 time=0.872 ms
64 bytes from 10.0.100.116: icmp_seq=49 ttl=62 time=0.847 ms
64 bytes from 10.0.100.116: icmp_seq=50 ttl=62 time=0.841 ms
64 bytes from 10.0.100.116: icmp_seq=51 ttl=62 time=0.752 ms
64 bytes from 10.0.100.116: icmp_seq=52 ttl=62 time=0.866 ms
64 bytes from 10.0.100.116: icmp_seq=53 ttl=62 time=0.809 ms
64 bytes from 10.0.100.116: icmp_seq=54 ttl=62 time=0.826 ms
64 bytes from 10.0.100.116: icmp_seq=55 ttl=62 time=0.759 ms
64 bytes from 10.0.100.116: icmp_seq=56 ttl=62 time=0.786 ms
64 bytes from 10.0.100.116: icmp_seq=57 ttl=62 time=0.753 ms
64 bytes from 10.0.100.116: icmp_seq=58 ttl=62 time=0.781 ms
64 bytes from 10.0.100.116: icmp_seq=59 ttl=62 time=0.835 ms
64 bytes from 10.0.100.116: icmp_seq=60 ttl=62 time=0.815 ms

--- 10.0.100.116 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59003ms
rtt min/avg/max/mdev = 0.720/0.820/1.067/0.069 ms
PING 10.0.100.116 (10.0.100.116) 56(84) bytes of data.
64 bytes from 10.0.100.116: icmp_seq=1 ttl=62 time=0.892 ms
64 bytes from 10.0.100.116: icmp_seq=2 ttl=62 time=0.823 ms
64 bytes from 10.0.100.116: icmp_seq=3 ttl=62 time=0.781 ms
64 bytes from 10.0.100.116: icmp_seq=4 ttl=62 time=0.783 ms
64 bytes from 10.0.100.116: icmp_seq=5 ttl=62 time=0.832 ms
64 bytes from 10.0.100.116: icmp_seq=6 ttl=62 time=0.835 ms
64 bytes from 10.0.100.116: icmp_seq=7 ttl=62 time=0.807 ms
64 bytes from 10.0.100.116: icmp_seq=8 ttl=62 time=0.721 ms
64 bytes from 10.0.100.116: icmp_seq=9 ttl=62 time=0.765 ms
64 bytes from 10.0.100.116: icmp_seq=10 ttl=62 time=0.820 ms
64 bytes from 10.0.100.116: icmp_seq=11 ttl=62 time=0.778 ms
64 bytes from 10.0.100.116: icmp_seq=12 ttl=62 time=0.799 ms
64 bytes from 10.0.100.116: icmp_seq=13 ttl=62 time=0.823 ms
64 bytes from 10.0.100.116: icmp_seq=14 ttl=62 time=0.843 ms
64 bytes from 10.0.100.116: icmp_seq=15 ttl=62 time=0.827 ms
64 bytes from 10.0.100.116: icmp_seq=16 ttl=62 time=0.816 ms
64 bytes from 10.0.100.116: icmp_seq=17 ttl=62 time=0.819 ms
64 bytes from 10.0.100.116: icmp_seq=18 ttl=62 time=0.786 ms
64 bytes from 10.0.100.116: icmp_seq=19 ttl=62 time=0.830 ms
64 bytes from 10.0.100.116: icmp_seq=20 ttl=62 time=0.825 ms
64 bytes from 10.0.100.116: icmp_seq=21 ttl=62 time=0.820 ms
64 bytes from 10.0.100.116: icmp_seq=22 ttl=62 time=0.777 ms
64 bytes from 10.0.100.116: icmp_seq=23 ttl=62 time=0.794 ms
64 bytes from 10.0.100.116: icmp_seq=24 ttl=62 time=0.861 ms
64 bytes from 10.0.100.116: icmp_seq=25 ttl=62 time=0.803 ms
64 bytes from 10.0.100.116: icmp_seq=26 ttl=62 time=0.773 ms
64 bytes from 10.0.100.116: icmp_seq=27 ttl=62 time=0.802 ms
64 bytes from 10.0.100.116: icmp_seq=28 ttl=62 time=0.720 ms
64 bytes from 10.0.100.116: icmp_seq=29 ttl=62 time=0.741 ms
64 bytes from 10.0.100.116: icmp_seq=30 ttl=62 time=0.806 ms
64 bytes from 10.0.100.116: icmp_seq=31 ttl=62 time=0.813 ms
64 bytes from 10.0.100.116: icmp_seq=32 ttl=62 time=0.804 ms
64 bytes from 10.0.100.116: icmp_seq=33 ttl=62 time=0.823 ms
64 bytes from 10.0.100.116: icmp_seq=34 ttl=62 time=0.865 ms
64 bytes from 10.0.100.116: icmp_seq=35 ttl=62 time=0.745 ms
64 bytes from 10.0.100.116: icmp_seq=36 ttl=62 time=0.819 ms
64 bytes from 10.0.100.116: icmp_seq=37 ttl=62 time=0.880 ms
64 bytes from 10.0.100.116: icmp_seq=38 ttl=62 time=0.786 ms
64 bytes from 10.0.100.116: icmp_seq=39 ttl=62 time=0.679 ms
64 bytes from 10.0.100.116: icmp_seq=40 ttl=62 time=0.836 ms
64 bytes from 10.0.100.116: icmp_seq=41 ttl=62 time=0.780 ms
64 bytes from 10.0.100.116: icmp_seq=42 ttl=62 time=0.743 ms
64 bytes from 10.0.100.116: icmp_seq=43 ttl=62 time=0.744 ms
64 bytes from 10.0.100.116: icmp_seq=44 ttl=62 time=0.871 ms
64 bytes from 10.0.100.116: icmp_seq=45 ttl=62 time=0.783 ms
64 bytes from 10.0.100.116: icmp_seq=46 ttl=62 time=0.848 ms
64 bytes from 10.0.100.116: icmp_seq=47 ttl=62 time=0.768 ms
64 bytes from 10.0.100.116: icmp_seq=48 ttl=62 time=0.805 ms
64 bytes from 10.0.100.116: icmp_seq=49 ttl=62 time=0.804 ms
64 bytes from 10.0.100.116: icmp_seq=50 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=51 ttl=62 time=0.807 ms
64 bytes from 10.0.100.116: icmp_seq=52 ttl=62 time=0.867 ms
64 bytes from 10.0.100.116: icmp_seq=53 ttl=62 time=0.854 ms
64 bytes from 10.0.100.116: icmp_seq=54 ttl=62 time=0.802 ms
64 bytes from 10.0.100.116: icmp_seq=55 ttl=62 time=0.774 ms
64 bytes from 10.0.100.116: icmp_seq=56 ttl=62 time=1.05 ms
64 bytes from 10.0.100.116: icmp_seq=57 ttl=62 time=0.866 ms
64 bytes from 10.0.100.116: icmp_seq=58 ttl=62 time=0.813 ms
64 bytes from 10.0.100.116: icmp_seq=59 ttl=62 time=0.804 ms
64 bytes from 10.0.100.116: icmp_seq=60 ttl=62 time=0.772 ms

--- 10.0.100.116 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 59001ms
rtt min/avg/max/mdev = 0.679/0.808/1.058/0.062 ms
PING 10.0.100.116 (10.0.100.116) 56(84) bytes of data.
64 bytes from 10.0.100.116: icmp_seq=1 ttl=62 time=0.894 ms
64 bytes from 10.0.100.116: icmp_seq=2 ttl=62 time=0.811 ms
64 bytes from 10.0.100.116: icmp_seq=3 ttl=62 time=0.828 ms
64 bytes from 10.0.100.116: icmp_seq=4 ttl=62 time=0.864 ms
64 bytes from 10.0.100.116: icmp_seq=5 ttl=62 time=0.873 ms
64 bytes from 10.0.100.116: icmp_seq=6 ttl=62 time=0.855 ms
64 bytes from 10.0.100.116: icmp_seq=7 ttl=62 time=0.857 ms
64 bytes from 10.0.100.116: icmp_seq=8 ttl=62 time=0.825 ms
64 bytes from 10.0.100.116: icmp_seq=9 ttl=62 time=0.866 ms
64 bytes from 10.0.100.116: icmp_seq=10 ttl=62 time=0.797 ms
64 bytes from 10.0.100.116: icmp_seq=11 ttl=62 time=0.849 ms
64 bytes from 10.0.100.116: icmp_seq=12 ttl=62 time=0.855 ms
64 bytes from 10.0.100.116: icmp_seq=13 ttl=62 time=0.895 ms
64 bytes from 10.0.100.116: icmp_seq=14 ttl=62 time=0.873 ms
64 bytes from 10.0.100.116: icmp_seq=15 ttl=62 time=0.877 ms
64 bytes from 10.0.100.116: icmp_seq=16 ttl=62 time=0.830 ms
64 bytes from 10.0.100.116: icmp_seq=17 ttl=62 time=0.877 ms
64 bytes from 10.0.100.116: icmp_seq=18 ttl=62 time=0.856 ms
64 bytes from 10.0.100.116: icmp_seq=19 ttl=62 time=0.823 ms
64 bytes from 10.0.100.116: icmp_seq=20 ttl=62 time=0.801 ms
64 bytes from 10.0.100.116: icmp_seq=21 ttl=62 time=0.812 ms
64 bytes from 10.0.100.116: icmp_seq=22 ttl=62 time=0.849 ms
64 bytes from 10.0.100.116: icmp_seq=23 ttl=62 time=0.854 ms
64 bytes from 10.0.100.116: icmp_seq=24 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=25 ttl=62 time=0.841 ms
64 bytes from 10.0.100.116: icmp_seq=26 ttl=62 time=0.833 ms
64 bytes from 10.0.100.116: icmp_seq=27 ttl=62 time=0.821 ms
64 bytes from 10.0.100.116: icmp_seq=28 ttl=62 time=0.880 ms
64 bytes from 10.0.100.116: icmp_seq=29 ttl=62 time=0.775 ms
64 bytes from 10.0.100.116: icmp_seq=30 ttl=62 time=0.770 ms
64 bytes from 10.0.100.116: icmp_seq=31 ttl=62 time=0.879 ms
64 bytes from 10.0.100.116: icmp_seq=32 ttl=62 time=0.880 ms
64 bytes from 10.0.100.116: icmp_seq=33 ttl=62 time=0.868 ms
64 bytes from 10.0.100.116: icmp_seq=34 ttl=62 time=0.895 ms
64 bytes from 10.0.100.116: icmp_seq=35 ttl=62 time=0.841 ms
64 bytes from 10.0.100.116: icmp_seq=36 ttl=62 time=0.865 ms
64 bytes from 10.0.100.116: icmp_seq=37 ttl=62 time=0.888 ms
64 bytes from 10.0.100.116: icmp_seq=38 ttl=62 time=0.913 ms
64 bytes from 10.0.100.116: icmp_seq=39 ttl=62 time=0.832 ms
64 bytes from 10.0.100.116: icmp_seq=40 ttl=62 time=0.818 ms
64 bytes from 10.0.100.116: icmp_seq=41 ttl=62 time=0.825 ms
64 bytes from 10.0.100.116: icmp_seq=42 ttl=62 time=0.818 ms
64 bytes from 10.0.100.116: icmp_seq=43 ttl=62 time=1.03 ms
64 bytes from 10.0.100.116: icmp_seq=44 ttl=62 time=0.793 ms
64 bytes from 10.0.100.116: icmp_seq=45 ttl=62 time=0.800 ms
64 bytes from 10.0.100.116: icmp_seq=46 ttl=62 time=0.810 ms
64 bytes from 10.0.100.116: icmp_seq=47 ttl=62 time=0.864 ms
64 bytes from 10.0.100.116: icmp_seq=48 ttl=62 time=0.833 ms
64 bytes from 10.0.100.116: icmp_seq=49 ttl=62 time=0.845 ms
64 bytes from 10.0.100.116: icmp_seq=50 ttl=62 time=0.720 ms
64 bytes from 10.0.100.116: icmp_seq=51 ttl=62 time=0.812 ms
64 bytes from 10.0.100.116: icmp_seq=52 ttl=62 time=0.790 ms
64 bytes from 10.0.100.116: icmp_seq=53 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=54 ttl=62 time=0.799 ms
64 bytes from 10.0.100.116: icmp_seq=55 ttl=62 time=0.805 ms
64 bytes from 10.0.100.116: icmp_seq=56 ttl=62 time=0.808 ms
64 bytes from 10.0.100.116: icmp_seq=57 ttl=62 time=0.843 ms
64 bytes from 10.0.100.116: icmp_seq=58 ttl=62 time=0.847 ms
64 bytes from 10.0.100.116: icmp_seq=59 ttl=62 time=0.700 ms
64 bytes from 10.0.100.116: icmp_seq=60 ttl=62 time=0.820 ms

--- 10.0.100.116 ping statistics ---
60 packets transmitted, 60 received, 0% packet loss, time 58999ms
rtt min/avg/max/mdev = 0.700/0.838/1.039/0.054 ms
PING 10.0.100.116 (10.0.100.116) 56(84) bytes of data.
64 bytes from 10.0.100.116: icmp_seq=1 ttl=62 time=0.861 ms
64 bytes from 10.0.100.116: icmp_seq=2 ttl=62 time=0.812 ms
64 bytes from 10.0.100.116: icmp_seq=3 ttl=62 time=0.849 ms
64 bytes from 10.0.100.116: icmp_seq=4 ttl=62 time=0.858 ms
64 bytes from 10.0.100.116: icmp_seq=5 ttl=62 time=0.856 ms
